Name,Cuisine,Link to Instagram Post,Link to Website,Location(s),Meal Type,Overall Rating,Price (pp),Size Rating 😍,Standout Menu Items,Vibes,Visited?
King Clarence,,,,CBD,Dinner,,,,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Bella Brutta,,,,,,,,,,,
Bar Copains,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Callao,"Japanese, Peruvian",,,Barangaroo,Dinner,9,$$$$,7,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Margaret,,,,,,,,,,,No
Don’t Tell Uncle,Indian,,,,,,,,,,No
